ptype,floor_area,build_year,occupy,star,site_eui,ngas,water_use
Multifamily Housing,83905,1987,100,36,114.1,8331058,7647.3
Multifamily Housing,1396625,1935,100,48,87.4,8568613,111668.7
Multifamily Housing,130576,2013,80,45,36.4,1971035.4,2250.1
Multifamily Housing,69285,2002,100,11,112.2,4936511.8,8074.8
Office,58301,1991,100,64,82.4,1614893.9,3146.3
Multifamily Housing,50673,1912,100,10,77.2,2544609,909.1
Multifamily Housing,216200,1929,100,24,102.1,485000,15381.4
Multifamily Housing,268430,1949,100,32,105.3,22417191.3,18690.5
Multifamily Housing,564060,1949,100,75,100.8,45125883.2,38538.1
Multifamily Housing,119893,1906,100,39,66.4,6034800.2,5228.8
Multifamily Housing,50124,1930,100,63,46.9,1066897,1231.4
Multifamily Housing,205821,1983,100,89,58.8,8871186.9,15614.1
Multifamily Housing,107740,2010,100,97,42.3,3078197.3,3477.1
Multifamily Housing,51802,2005,100,56,71.5,2458942.2,2074.4
Multifamily Housing,74359,2001,100,2,116.8,5188194.1,4350.3
Multifamily Housing,94008,1928,100,81,70.3,5158537.4,2277.8
Multifamily Housing,102000,1973,100,19,118.3,556451.6,9679
Multifamily Housing,55947,1940,100,72,71.2,133811.8,2049.8
Multifamily Housing,52265,1938,100,96,28,40924,2718.5
Multifamily Housing,83223,1970,100,74,58.6,2870699.8,2989.8
Hotel,70000,1985,100,21,160.6,6225405.5,6047.3
Hotel,83000,2007,100,8,218.1,10691100.1,7605.4
Multifamily Housing,210043,2007,100,10,90,9808190.5,10386.7
Hotel,109858,2007,100,6,111.7,6747105.7,10335.4
Office,61282,2005,100,35,143.7,5627500.1,2226.2
Multifamily Housing,42772,2000,100,2,235.8,7682169.7,6463.2
Retail Store,85995,1920,100,91,59.8,0,1239.5
Multifamily Housing,122406,1929,100,78,64.1,5528100,4283.8
Multifamily Housing,858068,1962,100,47,95.3,66321938.5,75342.3
Multifamily Housing,94773,2007,100,29,77.8,4146900,3479.2
Multifamily Housing,67763,1929,100,65,69.9,184418.8,2884.2
Multifamily Housing,75000,2002,100,35,66.4,3260798.9,2688.4
Multifamily Housing,106432,1929,100,46,75.3,408381.8,7643.6
Residence Hall/Dormitory,83734,2001,100,57,89.6,4588514.8,4810
Hotel,90411,2007,100,7,316.3,20096604.3,13114.1
Multifamily Housing,122689,1981,100,88,66.7,6457300.2,7453.4
Multifamily Housing,47362,1925,100,28,99.5,3706429.3,7445.4
Multifamily Housing,64031,2010,100,28,65.2,1745561.3,1814
Multifamily Housing,91682,2016,90,83,39.5,1273400,2587.6
Multifamily Housing,50064,1904,100,8,98.7,676888.2,1340.9
Multifamily Housing,70759,1900,100,31,79.7,23323.3,2487
Office,362151,1930,100,84,65,6500892.4,2570.3
Multifamily Housing,125610,1950,100,64,76.9,1766075,4943.1
Multifamily Housing,86219,1926,100,5,75.4,2335905.7,2797.8
Office,78066,1900,100,36,123.7,4628200.2,6857.4
Office,83753,1900,100,87,62.1,1341342.9,1853.8
Retail Store,120656,2004,100,67,73.8,356651.3,2457.5
Multifamily Housing,52600,1900,100,39,70.6,3122712.4,1929.3
Office,82800,1890,100,80,72.4,3148298,1270.8
Office,55464,1920,100,76,73.1,40170.2,1379.5
Office,70000,1900,100,38,81.7,6467.7,777.2
Office,234219,1929,90,94,52.9,4127432.5,1164
Office,53352,1985,100,87,69.2,2564807.4,2902.4
Hotel,380427,2010,75,35,103.6,294310,32667.9
Multifamily Housing,57152,1911,100,49,54.7,2208599.8,1282.2
Multifamily Housing,74184,1926,100,1,172,3403900,11692.1
Office,46740,1912,100,78,67.4,1646170.6,1329.3
Office,54800,1900,100,13,139.1,2428687.2,916.6
Office,54978,1900,100,56,86.1,1076.5,497
Office,113053,1890,100,79,95.3,1260443.9,3779.9
Office,221000,1920,80,98,37.4,3031299.8,3750
Office,69500,1985,100,67,61.7,516671.5,1695.1
Multifamily Housing,57122,1920,100,81,54.4,390432.5,849.4
Office,214110,1926,95,64,82.4,5386932.3,2193.5
Multifamily Housing,202793,1966,100,61,81.6,13309982.9,8884.3
Office,301968,1983,100,73,101.6,8067070.2,7904.1
Office,178459,1927,100,89,67,5635923.3,1970.4
Multifamily Housing,88965,1900,100,24,76.3,270964.7,2893.5
Office,151721,1900,100,93,48.1,2800,3899.6
Office,226000,1897,100,88,53.9,514676.5,5798
Office,230740,1900,100,86,59.8,700352.9,3938
Retail Store,74970,1900,100,19,124.4,2352000,951.5
Office,114990,1882,100,20,140,8286900.4,13429
Office,187008,1917,95,97,28.7,0,2272.6
Hotel,58538,1890,100,3,194.7,6854960.1,21995.7
Multifamily Housing,88000,1903,100,55,53.6,59300,1712
Office,296000,1929,100,87,59.6,1160885.1,4499.6
Office,380972,1919,100,78,87.7,14964540.4,8638.2
Multifamily Housing,53641,1986,100,64,93.8,3843150.9,3144.1
Multifamily Housing,50999,1974,0,100,39.1,4388.2,999.4
Multifamily Housing,187370,1991,100,77,56.1,6607120,4613.3
Office,76500,2004,100,65,89.6,490612.5,1587.4
Office,98280,1900,100,85,62.1,3528758.6,2386
