bname,build_year,floor_area,occupy,water_use,ws_ngas,ws_elec,site_eui
Multifamily,1950,125610,100,4943.1,0.1,800347.7,76.9
Multifamily,1929,64382,100,3210.6,0.5,629863.6,71.4
Multifamily,1913,162738,100,7193.3,0.5,1309277.8,68.9
Multifamily,1926,86219,100,2797.8,0.3,1394151.2,75.4
Office,1907,120000,100,1660.4,0,1685677.9,60.8
Office,1900,78066,100,6857.4,0.6,1474913.7,123.7
Office,1900,83753,100,1853.8,0.1,1827810,62.1
Retail,2004,120656,100,2457.5,0,2534776,73.8
Multifamily,1900,52600,100,1929.3,0.4,752819.3,70.6
Multifamily,1920,52936,100,417.4,0,270964.5,50.9
Office,1900,30201.9,100,400.1,0.3,410932.1,51.3
Office,1900,70000,100,777.2,0,1407894,81.7
Multifamily,1900,60036,100,552.8,0,245995,48.4
Multifamily,1985,44185,100,418.9,0.4,231331.6,50.5
Office,1929,234219,90,1164,0.2,2362540.2,52.9
Office,1985,53352,100,2902.4,0.5,470565.1,69.2
Hotel,2010,380427,75,32667.9,0,6000653.8,103.6
Multifamily,1911,57152,100,1282.2,0.4,263772.6,54.7
Multifamily,1926,74184,100,11692.1,0.5,1157838.9,172
Office,1912,46740,100,1329.3,0.3,801572.6,67.4
Office,1900,54800,100,916.6,0.5,1522617.2,139.1
Office,1900,54978,100,497,0,1190362.4,86.1
Office,1890,113053,100,3779.9,0.1,2778493.9,95.3
Multifamily,1860,40000,100,988.5,0.7,29310,65.1
Office,1920,221000,80,3750,0.2,1532915.7,37.4
Multifamily,2005,76459,100,1979,0.4,612345.8,66
Office,1985,69500,100,1695.1,0.1,1413920.4,61.7
Multifamily,1920,57122,100,849.4,0.1,382139.7,54.4
Office,1926,214110,95,2193.5,0.3,3498476.6,82.4
Multifamily,1966,202793,100,8884.3,0.7,901704.8,81.6
Office,1983,301968,100,7904.1,0.3,6481809.2,101.6
Office,1927,178459,100,1970.4,0.4,1804330.4,67
Multifamily,1900,88965,100,2893.5,0,1419472.2,76.3
Office,1900,151721,100,3899.6,0,1592355.8,48.1
Office,1897,226000,100,5798,0,3113078.5,53.9
Office,1900,230740,100,3938,0,2799108.8,59.8
Office,1900,74970,100,951.5,0.3,2043623.8,124.4
Multifamily,1900,75542,100,1695.2,0,593452.9,39.2
Office,1882,114990,100,13429,0.5,4034027.9,140
Hotel,1890,58538,100,21995.7,0.9,2291853.1,194.7
Multifamily,1910,41625,100,946.9,0.5,269323.5,56.9
Multifamily,1915,52500,95,675.6,0.7,605275.7,101
Multifamily,1903,88000,100,1712,0,407491.3,53.6
Office,1929,296000,100,4499.6,0,4676234.2,59.6
Office,1919,380972,100,8638.2,0.4,6236565.8,87.7
Multifamily,1986,53641,100,3144.1,0.6,893582.9,93.8
Multifamily,1974,50999,0,999.4,0,38625.6,39.1
Multifamily,1991,187370,100,4613.3,0.4,1133156.9,56.1
Office,2004,76500,100,1587.4,0.1,2416917.9,89.6
Office,1910,65170,100,1094.9,0,2648531.5,105.8
Office,1905,110000,100,2709.5,0.3,1748388.8,73.1
Multifamily,1961,72483,100,5555.4,0.9,810892.3,119.8
Multifamily,1985,40292,100,2241.2,0.5,371448,70
Multifamily,1900,55065,100,1542,0.1,478220.1,89.7
Office,1898,92088,100,2089.6,0.1,1326642,56.6
Multifamily,1985,64754,100,1170,0.6,870325.4,93.3
Multifamily,2006,83200,100,7183.8,0.6,815004.4,83.8
Multifamily,1985,63563,100,2206.5,0,407852.3,146.5
Multifamily,1912,105290,100,2487,0.4,1891520.2,71.9
Office,1898,130000,100,5643.3,0.3,855079.9,40.6
Multifamily,1930,197720,100,7594.2,0.2,2475137.4,62.1
Multifamily,1890,315000,100,1842.5,0.2,2665421.6,65.8
Multifamily,1910,67048,100,1202.7,0.6,654267,85.5
Office,1911,44126,100,1344.8,0.1,748734.8,51.8
Multifamily,1941,54914,100,1767.6,0.7,251953.4,78.9
Office,1885,79936,100,1923,1.2,1548089.8,172.2
Office,1928,52192,100,608.2,0.5,924936.6,107.8
Multifamily,2010,128300,100,5351.6,0.6,1935083.9,106.2
Multifamily,2005,126633,100,4524.7,0.9,2092795.1,142.5
Multifamily,1908,75165,100,651.5,0,575746.1,82.8
Education,1896,415725,100,4760.6,0,1328440.9,32.9
Office,1910,287886,100,2211.4,0,6006264.8,89.7
Multifamily,1981,80600,100,9168.5,2.1,1630798.6,256.7
Office,1906,87149,100,1733.5,0.4,2081999.8,119.4
Multifamily,1895,56237,100,556.7,0.1,567114.9,89.8
Multifamily,1891,95000,100,3106.7,0.3,1534329.1,75.5
Multifamily,1931,134387,100,3696,0.6,630867.9,79.3
Multifamily,1952,100581,100,8910.5,0.6,1199389.2,104.7
