ptype,floora_plan,year,occ,site_EUI,n_site_gas,n_site_elec,water_use
Multifamily,246293,1970,100,72.9,149038.9,1099262.8,15581.2
Multifamily,245636,1962,100,71.4,140513.2,1166643.1,29869.7
Multifamily,260708,1963,100,69,127502.7,1593728.7,30938.7
Multifamily,244889,1965,100,72.5,135181.9,1184399.1,29009.5
Multifamily,248056,1967,100,65.7,114392.6,1203330.5,29967
Multifamily,131283,1983,100,67.3,72881.9,587021.9,7845
Multifamily,119348,1984,100,66.7,65761.6,514493.5,5344.8
Multifamily,266136,1990,100,76.5,147112,1924581.9,19224.9
Multifamily,225240,1965,100,60.2,108609.4,814809.7,11506.3
Multifamily,235440,1962,100,79.6,152696.6,1279412.2,10895.2
Multifamily,81730,1961,100,62.5,40115.9,399531,4707.3
Multifamily,169490,1968,100,86.1,119559.2,1032768.6,9632.7
Multifamily,172551,1965,100,89.3,119555.6,1032050,11440
Multifamily,62907,1970,100,173.2,78799,1010639.3,8007.1
Retail,621886,2010,100,95.2,39299.6,18647414.8,27758.4
Multifamily,265821,1988,100,76,158725.4,1611243.6,14767.3
Multifamily,146261,1970,100,57.9,63429.2,454333.7,5053.1
Multifamily,69223,1992,100,73.8,39985.7,482117.7,4697
Multifamily,73658,1980,100,92.4,59189.1,370356.9,5892.1
Multifamily,177508,1948,100,61.6,95878.5,592256.1,9206.6
Multifamily,118954,2008,100,42.3,33296.6,557925.6,5862.5
Multifamily,117920,1949,100,101,88646.1,615225.6,9336.8
Multifamily,141920,1949,100,115.5,144335.7,744026.6,10399.4
Multifamily,141920,1949,100,137.9,174260.3,794834.9,10065.3
Multifamily,141920,1949,100,102.7,125725.9,739727.8,8307.9
Multifamily,304100,1938,100,73.1,206805.6,1070039.6,1575492.3
Multifamily,235740,1938,100,76.6,167541.2,949320.4,1306332.8
Multifamily,204340,1952,95,147.4,298143.4,452101.2,9936.4
Multifamily,135100,1947,100,64.4,75844.6,385391.8,4631.7
Multifamily,114600,1947,100,69.9,69422.4,369177.5,6447.9
Multifamily,134006,1949,100,85.6,98992.7,514862.6,7380.3
Multifamily,131340,1952,100,101.7,123552.4,557684.3,7630.9
Multifamily,114590,1946,100,77.7,79563.5,463077.4,5458.5
Multifamily,137000,1952,100,81.2,100684.6,561428.4,9542.5
Multifamily,142260,1946,95,90.9,127054.2,291746,7449.8
Multifamily,70500,1949,95,87.2,53785.9,238471,6948.7
Office,74575,1951,100,76.9,61828,319439.7,5715.9
Multifamily,167196,1959,100,63.3,92841.5,597675.1,6669.6
Multifamily,129954,1957,100,68.8,63880.8,705119.8,7037.5
Multifamily,114631,1956,100,62.6,54988.7,454338.9,5141.6
Multifamily,83420,1955,100,84,64827.6,301293.5,4939.4
Multifamily,108000,1649,100,87.1,85596.8,416018.8,6596.3
Multifamily,140450,1950,100,76.1,77919.6,815793.5,8760.4
General Medical,190934,1951,100,350.6,405833.1,7015318.4,0
Multifamily,208100,1962,100,82.6,147938.2,822750.1,8296
Multifamily,62508,1958,100,99,53714.5,252052.1,4181.3
Multifamily,574950,1964,100,86.6,388825.4,2375328.8,26151.5
Multifamily,173125,1962,100,68.9,98129.1,610664.7,5650.2
Multifamily,135400,1962,100,102.6,117788.7,585242,7226.2
Multifamily,141728,1951,100,82.5,98611.6,611338.5,5445.8
Multifamily,127416,1952,100,107.1,129460.2,482644.9,5886.4
Multifamily,172590,1959,100,63,90168,579998.6,7242
Multifamily,68640,1952,90,88,56368.6,244114.7,5631.4
Multifamily,172590,1959,100,66.6,99937,582751.4,5334
Multifamily,70000,1959,100,85.2,52525.9,311850.5,2717.9
Multifamily,78000,1960,100,69.5,51875.8,68750.6,2392.3
Multifamily,120666,1941,100,79.6,75451.3,595602.9,5402.1
Multifamily,102472,1953,100,88.2,76534.4,456511.4,5033.6
Multifamily,72223,1949,100,97.3,58320.4,401682,3408.1
Multifamily,130284,1943,100,87.4,4627,431407.3,5415.7
Multifamily,117000,1956,100,98.2,10526.5,799191.2,5553.9
Multifamily,154410,1942,100,75.5,92733.6,578941.4,5861.7
Multifamily,140617,1970,100,66,63468.1,834734.9,6778.4
Multifamily,54996,1956,100,106.5,50103.4,265523.6,3689.4
Multifamily,87982,1956,100,60.5,35736.1,538507.9,3971.7
Multifamily,86769,1956,100,72.3,37702.5,639977.9,3798.2
Multifamily,288711,1950,100,100.9,272301.2,1138319.7,18084.2
Multifamily,177752,2009,100,52.5,77884.3,648069,4788.3
Multifamily,160791,1953,100,35,29959.8,603294.7,7581.8
Multifamily,85427,1954,100,86.4,61444.7,528217.7,4763.6
Multifamily,113094,1949,100,71.3,60721.5,428028,5444.9
Multifamily,201428,1950,100,72.9,122875.7,947173.7,11157
Multifamily,86098,1939,100,55.8,43978.2,246483,2951.8
Multifamily,228690,1953,100,69.6,158725.4,153845.1,13071.9
Multifamily,124001,1947,100,74.7,76297.2,460096.1,5091.4
Multifamily,246706,1949,100,65.1,132020.5,874469.8,7953.3
Multifamily,428836,1965,100,104.5,380795,2689715.3,29403.6
Multifamily,101613,1963,100,170.5,174187.8,424379.6,6229.8
Multifamily,101613,1963,80,83.6,74580.3,446059.1,5703.4
Multifamily,74730,1954,100,210.4,153198.2,641156.8,7821
Multifamily,105201,1949,100,245.9,77180,577260.2,705750.3
Multifamily,151550,1949,100,68.7,92003.9,566854.4,6306
Multifamily,70110,1929,100,85.1,55833.9,235363.5,3781.4
Multifamily,113397,1939,100,76.2,80437.3,530317.4,4239.2
Multifamily,194933,1953,100,69,108810.1,887733.3,7902.4
Multifamily,177333,1946,100,60.5,95749.2,539704.5,5629.1
Multifamily,298684,1962,100,90,206888.6,1744724.4,14708.9
Multifamily,71838,1939,100,80.6,51450.1,300769.9,2926.4
Multifamily,80010,1940,100,71.9,48159.3,306369,3291.4
Multifamily,77000,1939,100,87.5,64646.9,247829.1,2561.3
Multifamily,73020,1939,95,73.8,48406.6,260201.9,2781.3
Multifamily,116770,1966,100,35.3,34581.9,395847,6549.9
Multifamily,125251,1964,100,139,143086.6,736412.2,7636.1
Multifamily,114510,1966,100,118.9,107347,691670.7,6648.7
Multifamily,75382,1940,100,66.6,45848.6,223828.8,2796.2
Multifamily,62100,1950,100,71.7,44712.9,247619.9,2544.9
Multifamily,59975,1960,100,90.4,46136.3,271673.1,2889.7
Multifamily,61930,1939,100,71.3,39615.3,211729.9,4088.9
Multifamily,72800,1936,100,121.5,86742.8,216081.4,8996.1
Multifamily,88310,1949,100,65.7,52217,320050.7,2693
Multifamily,177375,1951,100,64,97555.6,659699.2,8096.2
Multifamily,117338,1952,100,65.5,68220.3,425010.4,4721.7
Multifamily,89565,1966,100,61,46536.9,346268.3,2474.6
Multifamily,148739,1957,100,73.5,87281.6,658202.3,7215
Multifamily,57400,1961,100,88,42966,291410.2,3205.4
Multifamily,122085,1951,100,67.8,66030.6,473748.8,4235.7
Multifamily,126660,1940,100,74.8,86661.6,468769.1,4694.8
Multifamily,85200,1942,100,108.5,78294.6,305128.8,5855.9
Multifamily,213900,1951,100,132.7,266185.6,895341.4,9896.7
Multifamily,137500,1937,95,70,89551.1,398622.3,6955.4
Multifamily,70435,1940,100,72.5,47312.3,218308.2,2017.5
Multifamily,66483,1940,100,67.5,42103.3,250334.1,2872.3
Multifamily,118864,2001,100,88.1,73328.1,1115674.3,5149.2
Multifamily,70127,1941,100,66.1,42019.6,219912.7,3197.2
Multifamily,105280,1969,95,130.2,105660.4,629295,3328.1
Multifamily,75000,1941,100,76.3,49539.8,282513.8,3241.3
Multifamily,128736,1950,100,102.2,121160,568521,8721.5
Multifamily,128736,1951,100,115,137383.2,596536.8,6425.8
Multifamily,250034,1956,100,81.4,164747,951859.6,8183.7
Multifamily,60106,1951,100,106.7,55007.9,264620,4533.9
Multifamily,152526,1940,100,73.3,107281.5,450202.2,7987.7
Multifamily,83160,1941,100,91.5,74830,268572.4,5079.3
Multifamily,55232,1940,100,79.1,39987.6,177503.7,3102
Multifamily,97650,1940,100,85.7,81241.2,318856.3,4228.4
Multifamily,97650,1940,100,82.5,73770,355659.6,4916.2
Office,80860,1962,100,120.6,83335.8,459627.3,4111.3
Multifamily,118125,1940,100,72.8,78265.1,370874.2,5164.6
Office,389318,1982,100,62.2,93273.9,4838570.4,4807.1
Multifamily,63112,1961,100,51.1,33492.5,39198,2474.6
Facility,126533,1939,100,19.6,22295.8,164229.2,483.3
Multifamily,117450,1996,100,48.5,65524.4,473723.5,14477.1
Multifamily,685893,1963,100,200.2,675176,5985866.5,88211
Multifamily,239190,1970,100,79,140787.6,1492111.7,14446.4
Multifamily,58000,1982,100,90.5,45556.5,319829.3,3352
Multifamily,52800,1930,100,115.2,50468.6,398461.1,3556.2
Multifamily,392700,1956,100,69.3,239288.9,1521225.3,17016.1
Multifamily,115654,1955,100,62.5,61518.8,448016.3,3384.3
Facility,65000,1957,100,44.4,34036.9,0,170.2
Facility,45150,1959,100,62.2,22351.9,365579.5,314.2
Multifamily,68440,1963,100,82.6,50245.4,259106.7,8108.1
Retail,75373,2005,100,213.2,55515.7,3194990.7,91457
Facility,54495,1967,100,35.6,18392.9,213170,83.3
Facility,88500,1930,100,97.1,81690.1,224951.5,147.4
Facility,143840,1931,100,14.3,16587.7,88280,3125.3
Facility,130000,1955,100,115.9,145168,715287.6,511.3
Facility,55045,1965,100,10.8,4854.4,47191.7,38.9
Other,90475,1957,100,51.2,16004.9,504042.4,373
Facility,44200,1966,100,127.6,62553.6,138880.8,17027.8
Facility,54600,1963,100,10.7,1345,138540,120.2
Facility,114500,1963,100,46.5,30829.4,52998,684.9
Office,69500,1985,100,75.4,57196,135864.1,529.5
Retail,65000,2000,85,35.3,13147.7,371142.4,33.3
Facility,97650,1970,100,64.5,53441.3,446399.9,302.2
Facility,150000,1925,100,315.2,505897.8,4933472.4,20553.9
Facility,72000,1972,100,41.7,27786.2,154720.9,418.2
Facility,150000,1954,100,34.7,33989.7,304668.7,129648.5
Facility,200000,1950,100,39,39129.6,1347565.2,1427.8
Facility,66000,1963,100,24.6,8941.7,228324.8,198.7
Facility,86000,1943,100,2.1,2,96309.5,347.7
Facility,200000,1946,90,339.3,396179.4,8450259.2,218237
Facility,82283,1990,100,30.5,20093.4,631942.5,285
Facility,75428,1961,100,903.2,522148.4,6420179.6,27920.3
Facility,53000,1954,100,6.5,3465,10126.4,26.2
Multifamily,62102,1963,100,154.5,68984.8,791039.9,31.8
Multifamily,66223,1972,100,90.2,9225.9,1519188,9035.7
Retail,52336,1996,100,200.7,37721.2,2039411.9,1022.2
Facility,70000,1927,100,30.7,229.4,216280.5,829.2
Multifamily,53310,1959,100,88.1,39947.6,272943.6,3242.1
Multifamily,66924,1959,100,105.7,63494.3,325487.6,4614
Multifamily,60706,1964,100,97.8,46183.8,463557.9,3521.1
Multifamily,319025,1952,100,84.5,227226.3,1364636.1,28704.7
Multifamily,120450,1972,100,165.6,149555.9,1662728.9,7193.3
Multifamily,51723,1974,100,122.9,47713.7,553701.2,4943.1
Multifamily,114590,1939,100,74.1,80337.3,309164.3,4601.3
Multifamily,53468,1927,100,90.2,51235.5,28628.4,3315.3
Multifamily,100080,1941,100,90.1,84712.6,305320.9,5834.1
Multifamily,105304,1941,100,82.4,80842.3,306012.2,5028.4
Multifamily,57288,1939,100,94.8,50078.7,219791.8,3638.1
Multifamily,52600,1927,100,116.3,63019.8,33654,2893.1
Multifamily,80437,1936,100,66.5,49897.4,212062.4,4035
Multifamily,89971,1930,100,76.3,63195.7,278359.5,4882.4
Multifamily,63000,1939,100,77.1,41986.9,250555,3065.4
Multifamily,63000,1941,100,64.5,32871.3,295245.3,2629.8
Multifamily,78643,1940,100,68.2,48925.9,240531,4089.8
Multifamily,160968,1942,100,72.6,107746,517789.5,7897.6
Multifamily,153606,1952,100,76.2,101713.9,535935.5,6430.3
Multifamily,69000,1954,100,85.6,53994.9,274679.8,2547.9
Multifamily,112801,1970,100,61.4,57306.4,401124.3,5378.6
Multifamily,81666,1941,100,60.5,44582.6,229232.2,3408.9
Multifamily,106140,1952,100,95.9,87232,356367.5,6130
Multifamily,60000,1940,100,99.3,53252.1,250039.2,4639.7
Multifamily,67000,1960,100,61.5,38786.3,64942.9,3663.3
Multifamily,132712,1970,100,57.5,62269.3,371844,5006.8
Multifamily,62160,1939,100,73.6,41826.9,226244.6,2853.3
Multifamily,74228,1940,100,15.5,3779,217792.8,2859.1
Multifamily,62010,1940,100,87.4,49817.1,245555.5,1135.5
Multifamily,79056,1948,100,16.7,1335,333096.4,6850.1
Multifamily,73620,1936,100,91.5,63681.7,249512.5,4481.6
Multifamily,61190,1960,100,94.8,53741.3,231729.6,3376.7
Multifamily,58539,1970,100,68,30263.8,194771.3,3105.5
Multifamily,64520,1941,100,97.8,53792.8,277121.4,5605.4
Multifamily,75754,1941,100,15.8,2857,256101.2,2906
Multifamily,74228,1940,100,14.6,2881,225974.4,2822.4
Office,41478,1941,100,61,41453.7,199131.2,3171.7
Multifamily,68250,1953,95,74.9,44245.6,275202.5,3440.3
Multifamily,129932,1963,100,87.3,4744.9,586361.4,7072.1
Multifamily,51173,2010,100,40,15486.1,186125.1,1375.8
Multifamily,60306,2000,100,75.1,38499.3,306232.8,4231.8
Multifamily,66883,1956,100,87.2,55487.1,330728.8,7837.7
Multifamily,74480,1940,100,67.8,46337.4,190800,1047.9
Multifamily,142798,1939,100,112.1,146006.3,614854,0
Multifamily,142798,1939,100,82.7,109240.4,336827.4,8159.3
Multifamily,131868,1952,100,90.9,101024.9,518551.3,7469.3
Multifamily,163625,1939,100,64.1,98082,333171.8,0
Multifamily,55170,1956,100,79,37108.9,214969.4,2704.2
Other,57600,1956,100,73.2,32468,274290,2423.7
Multifamily,97104,1963,100,104.2,88340.9,554399.9,6188.6
Multifamily,77700,1963,100,105.5,74139.9,380908.5,4763.6
Multifamily,115200,1962,100,74.8,76206.7,466028.9,5156.3
Multifamily,60306,2000,100,75.9,38796.2,307075.6,4964.4
Multifamily,264212,1970,100,80.3,170600,1292324,11824.5
Multifamily,54271,1958,100,86,41074.1,190120.4,4871.4
Multifamily,50200,1986,95,73.2,27582,257701.9,2756.3
Multifamily,82403,1947,100,95,76311.3,231721.9,4038.3
Multifamily,177710,1970,100,78.4,112561.2,812906.6,6766.1
Multifamily,77300,1950,100,126,91955.4,404241.1,7684.7
Multifamily,80831,1939,100,71.6,628.9,319577.9,2463.3
Multifamily,85140,1939,100,73.9,58228.4,429056,4041.7
Multifamily,112800,1964,100,101.6,94635.5,525259.8,4993.3
Multifamily,125216,1953,100,97,87332.9,590038.7,4955.1
Multifamily,86136,1953,100,88.8,62270.1,530207.8,7632.4
Multifamily,100100,1955,100,101.5,68677.1,513604.5,5373.3
Multifamily,127400,1961,100,77.8,81550.4,531018.7,5529.3
Multifamily,112460,1948,100,110.6,105334.3,644217.2,9088.3
Multifamily,84472,1939,100,62.1,44866.7,310969.4,3857
Multifamily,149783,1941,100,60.3,71880.2,563398.5,4039.5
Multifamily,58350,1950,100,132.5,48740,322605.1,9255
Multifamily,94769,1965,100,71.2,57262.7,351906.3,4454.1
Multifamily,65687,1992,100,16.3,1345,260079.5,5068.1
Multifamily,137120,1950,100,69,78040.8,539828.7,5611.7
Multifamily,55967,1954,100,98.6,42869.8,245581.7,2878.5
Multifamily,74880,1941,100,91.8,67010.8,213775,3883.5
Multifamily,72025,1948,100,77.9,47475.7,338210.3,3952.7
Multifamily,67690,1940,100,68.1,42104.5,206720.5,3129.1
Multifamily,96003,1957,100,68.1,51217.4,400076.9,3490.4
Multifamily,164168,1991,100,54.7,73288.6,529719.5,6157.3
Multifamily,58874,1957,100,95.3,49353.2,247603.6,2589
Multifamily,106365,1954,100,91.3,86336.8,494300.5,4878
Multifamily,94648,1920,100,107.3,77057.9,582298.8,2722.9
Multifamily,73500,1931,100,119.4,64063.1,582298.8,4312.5
Other,31725,1997,100,44.1,11194.1,749365.9,5170.6
Retail,22256,1941,100,114.7,26053.6,1341567.8,2515.6
Multifamily,575600,1965,100,94.9,433956.2,3764502.6,23865.5
Multifamily,190000,1965,100,95.6,168698,423999.9,8497.1
Multifamily,99254,1932,100,106.8,10935,434486.7,3527.8
Office,81411,1930,100,225.5,159832.5,2168304.6,7793.6
Multifamily,81510,1939,100,69.5,48744.1,401660.7,2880.9
Multifamily,124921,2004,100,122.4,122364.7,1409271.3,5832.1
Multifamily,92050,1975,100,82.7,65585.8,492931.1,5488.5
Multifamily,51428,1929,100,97.1,44435.6,214218,2834.9
Multifamily,139392,1941,100,70.9,92630.3,405604.3,6585.1
Multifamily,53410,1933,100,131.7,1229,280991.5,2575.1
Multifamily,66600,1918,100,146.6,99088.5,212461.3,2341.4
Multifamily,123172,1952,100,86,96985.5,493460.2,7299.9
Multifamily,148181,1932,100,54.4,60727.8,553301.4,4803.2
Multifamily,101127,1933,100,54.8,50370.9,281297,3268.2
Multifamily,94744,1938,100,60.1,52594.6,238311.1,4216.8
Multifamily,124091,1937,100,52.1,57990,300173.3,2820
Multifamily,97819,1942,100,49.9,49862,273130.3,3756.7
Multifamily,142015,1923,100,81.8,4447.9,533454.2,6337.5
Multifamily,78087,1954,100,69.3,48809.9,252518.3,4115.4
Multifamily,140196,1950,100,86.7,100794.5,654911.4,12126.7
Multifamily,64716,1931,100,88.8,52011.6,254874.5,3523.3
Multifamily,64716,1931,100,80.1,46828,235529.8,2428.9
Multifamily,112536,1956,95,77.5,72604.5,582259.7,4810.7
Office,63675,1920,100,88.5,62430.5,267692.2,4908.7
Multifamily,79362,1979,100,72.6,47826.9,362107.6,5674.4
Multifamily,55200,1930,100,55.3,32177.8,16258.7,4083.6
Multifamily,106000,1932,100,73.4,72749.8,328457.8,6966.6
Multifamily,150000,1960,90,6.1,1640.2,140347.3,8808.5
Multifamily,88272,1925,100,70.3,63174.8,93761.7,4334
Multifamily,103012,1939,100,77.3,74460,306236.7,4730.5
Multifamily,63350,1924,100,67.3,36010.7,193734.4,2488.8
Multifamily,164336,1941,100,79.1,98,560958.3,4646.9
Multifamily,134080,1952,100,63.2,75243.3,339928.5,4757.6
Multifamily,58864,1932,100,91,47683.4,240509.5,4281.8
Multifamily,213644,1973,100,49.7,53011.3,1720090.1,11258.2
Multifamily,60736,1929,95,85.5,46179.9,231617.6,2422.9
Multifamily,68090,1929,100,65.9,40293.7,212160.3,3309.4
Multifamily,196420,1974,100,66.3,60012.9,2228678.1,9920.5
Multifamily,60879,1938,100,90.7,52994.6,183787.4,2678
Multifamily,65000,1939,100,86.1,53918.5,190464,2251.5
Multifamily,60000,1940,100,74.5,40189.4,201653,3110.7
Multifamily,56636,1937,100,73.7,36326.6,247874,3062.5
Multifamily,57909,1937,100,82.8,42486.5,234547.5,2357.9
Multifamily,74242,1940,100,112.1,43713.1,178584.9,2707.6
Multifamily,57518,1937,100,85.7,44285.3,247669.2,3488.4
Multifamily,55156,1939,100,79.4,44525.4,202700,2105
Multifamily,106909,1925,100,106.9,108132.4,335732.7,6093.6
Office,371000,1989,100,79.2,65834.1,6884486.3,8966.9
Multifamily,125343,1927,100,76.9,80662.4,614120.4,6303.1
Multifamily,90500,1930,100,76.2,58322.3,351217.8,4142.7
Multifamily,54404,1933,100,72.2,36936.1,182131.2,5412.2
Multifamily,67136,1933,100,69.7,42975.2,211022,5098
Multifamily,77427,1931,100,18459.5,401.5,452023581.5,2324.2
Multifamily,91500,1940,100,76.5,52153.4,345102,4065.3
Multifamily,158032,1948,100,75.1,101870.1,559351.9,6531.2
Facility,53660,1920,100,52,3601.8,731733.1,1.3
Facility,59589,2013,90,31.4,13781.2,204387.1,69.3
Multifamily,57716,1928,100,115,57991,232477.3,8035.6
Facility,123000,1970,100,27.3,30361.3,235600,180.3
Facility,87969,1969,100,30.5,11615.8,486038.4,647.2
Facility,74224,1950,100,546.5,20552.3,11380195.2,589.2
Facility,74009,2007,100,35.4,19820.8,186779.3,106.1
Facility,104079,1947,100,29.3,23882.9,268686.4,69
Multifamily,295000,1960,90,167.1,460296.1,1558045.5,32871
Retail,121731,2000,100,96.3,49406.7,2116754.1,1735.3
Retail,60713,1960,100,215.4,63696.1,2127786.7,5011.8
General Medical,56433,1971,100,104.3,17625.2,1259999.8,1109.4
Retail,78500,1955,100,62.2,12497.3,1063960.6,1867.9
Multifamily,236701,1956,100,98.8,193879.8,1382002.3,11248.5
Retail,154000,1988,100,71.1,66083.6,1289687.6,4291.6
Multifamily,122805,1985,100,68.5,71880.2,517611.7,7841.1
Facility,160000,1970,100,697.9,853643.1,7602071.3,149708.8
Food Service,55000,1960,100,205.8,94419.8,552197.9,816.6
Facility,156000,1919,100,91.7,150054.7,1639248.2,1017.4
Other,65000,1930,100,55.4,36732.7,48476.6,1088.7
Retail,111000,1996,100,80.5,12711.9,2250340.5,154866
Education,92705,2005,100,74.2,33395.9,1142278.8,2384.4
Retail,50000,1985,100,228.8,65956.3,3272300.4,180779.2
Retail,139899,1998,100,86.2,39011.1,2520236.3,1894
Retail,119500,1998,100,162.1,81907.6,3491534.3,2660.6
Retail,79800,2000,100,101.9,28464.1,1630339.5,1947.2
Office,85826,1990,100,95.1,25116.1,2717697.2,3068
Office,62545,1985,100,54.9,2919.4,930257.2,1302.8
Hotel,63063,1990,100,58.4,12324.3,728715.8,4749.7
Multifamily,64218,1971,100,79.8,41834.8,359459.4,3578.4
Office,148000,1991,100,26,34738.9,339962.5,78.5
Multifamily,76200,1971,100,143.5,75390,1113492.6,8741
Multifamily,80703,1971,100,129.2,29262.8,2243982,7530.6
Multifamily,76000,1968,100,78,6120.7,1602258.4,5307.4
Facility,84641,1983,100,27.9,14446.8,311838.2,506.2
Office,90000,1950,95,36.6,20087.7,436862.1,4773.2
Facility,465667,1994,100,213.5,328616.2,24875069.6,8110.4
Multifamily,499960,1957,100,125.5,25862.5,2531367.8,32957.8
Multifamily,55969,1957,100,220.7,91825.5,1107531.3,6483
Multifamily,274009,1952,100,72.9,124428.6,2391589.8,14876.5
Retail,244500,2000,100,56.4,42877.9,2894319.4,2991.5
Multifamily,234450,1961,100,69.2,135552.8,1073435.2,10072.2
Multifamily,180262,1957,100,101,157515.2,1050465.5,8355.7
Office,56000,1993,100,28.5,4271,356746.1,794.4
Multifamily,225990,1960,100,78.3,152466.8,1141686.1,12922.6
Multifamily,206046,1957,100,64.2,105476.2,779389.6,8863.2
Multifamily,153091,1957,100,90.6,112486.8,734769.2,7086.3
Facility,169696,2001,100,72.1,29232.4,2829247.9,3034.1
Retail,116592,2001,100,69.3,24785.1,1677780.7,1449.5
Facility,65195,2012,100,16.6,3783.9,215418.4,240.1
Multifamily,61140,2007,100,50.6,24363.2,237254,2202.3
Multifamily,59040,2007,100,61.6,18396.4,526505,3377.2
Multifamily,85615,1928,100,85.4,66082,376098.7,3212.3
Multifamily,175000,1956,100,54.3,83205.8,551206.7,5220.2
Multifamily,175000,1956,100,56.5,85826.6,589135.4,5826.6
Multifamily,175000,1956,100,61.6,97524.6,543094.3,5946.4
Multifamily,449400,1956,100,93.6,340197.3,2166584.6,13790.3
Multifamily,73750,1965,100,62.6,8471,457260.1,3862.2
Other,35000,1955,100,150.8,88067.9,4112737.1,5155.8
Multifamily,97356,1952,100,41.6,22121.3,347969,2835.7
Multifamily,173644,1951,100,48.6,58689.3,652409,6054.9
Multifamily,73480,1951,100,156.9,78247.9,869853.1,9237.9
Multifamily,235500,1954,100,52.6,97153.9,985877.2,11265.7
Multifamily,382500,1954,100,84.2,21999.3,2039720.2,21257.4
Multifamily,51378,1954,100,96.1,32267.2,581439.9,2687.5
Multifamily,142933,1952,100,61,77779.6,368269,4084.3
Office,63966,1985,100,72.8,29981,583422.2,4248.4
Facility,107525,1928,100,29,24024.1,281231.5,152.9
Other,65580,2003,100,46.1,53818.1,401236.3,8201.6
Office,50763,1944,100,86.8,42995,981116.9,457.1
Hotel,233230,1989,100,99.1,107637,3592759.7,15733.7
Other,120000,2003,100,47.2,11323,1328279.9,27844.6
Multifamily,57725,2001,100,86.2,37682.4,461000.4,3094.2
Multifamily,74056,2000,100,83.3,44863.8,622936.1,3401.4
Multifamily,87612,1987,100,86.6,66890.5,409267.7,5380.7
Office,73804,1931,100,65.7,1482.7,1004373.8,5831.8
Multifamily,106554,1963,100,73.7,66450.2,547492.2,9949.8
Multifamily,52200,1937,100,106.6,54750.9,177097.6,4563.1
Multifamily,128637,1960,100,21.4,6285,620959.9,6567.9
Multifamily,100000,1967,100,114.1,103023.9,536287.9,6434
Multifamily,49617,1959,100,82.9,35828.6,237770.2,5347.2
Multifamily,174302,1985,100,77.7,122380.5,684977.5,8727.5
Multifamily,130495,1962,100,25.5,14488.4,561931.3,14264.8
Multifamily,86321,1972,100,101.5,77316,419737.1,7907.7
Multifamily,63410,1967,100,100.9,57647.8,351504.3,6785.9
Multifamily,191330,1956,95,81.9,133041.4,886886.8,15808.6
Multifamily,55000,1960,100,96.9,40927.6,446039.1,4183.6
Multifamily,87106,1974,95,146.3,9249.8,1016128,23850
Multifamily,167610,1940,100,103.6,157862.6,838513.8,10690.4
Multifamily,95000,1950,100,121.8,82820.1,1100600.8,5897.9
Multifamily,59100,1929,95,87.6,45307.1,184056.1,8719.2
Multifamily,86298,1988,100,86.9,82233.6,577329.9,4765.1
Multifamily,67598,1989,100,81.2,37922.1,597348.9,4225
Multifamily,110400,1924,100,78.9,49197.2,354570.9,12010.2
Multifamily,148757,1915,100,22.5,7924,724811.5,9070.1
Multifamily,102140,1963,100,53,37136.9,497583.6,5941
Multifamily,78000,1940,100,82.9,5335.4,278968.9,6957.1
Multifamily,130018,1925,100,22.3,24000,88922.2,8476.9
Multifamily,71791,1986,95,103.7,65839.4,402227,5129.2
Multifamily,119761,1973,100,84.7,86575.9,560137.4,5218
Multifamily,61850,1963,100,91.9,53704.6,215502.3,4241.8
Multifamily,101640,1997,100,230.7,145098.6,2917356.5,12056
Multifamily,69200,1969,100,148.9,64789.1,1185309.6,7555.3
Multifamily,72773,1962,100,94,60718.5,358151,8634.8
Retail,166738,1967,100,337.5,326370.2,7023940.7,25965.2
Multifamily,169527,1965,100,103,147322.3,1059237.6,14257.1
Multifamily,58720,1965,100,108.1,58616.3,223639.4,6797.8
Multifamily,42175,2001,100,94.5,37873.4,398975.4,5435.3
Multifamily,107124,1963,100,89.8,88786.2,367974.2,11671.2
Multifamily,91297,1920,100,79.6,81071.2,132798,3818.3
Multifamily,104573,1969,100,66.1,58146.7,465979.7,5160.1
Multifamily,80241,1971,100,99.1,70270.3,387971.1,8373.1
Multifamily,89960,1985,100,90.8,50233.7,969495,71391.6
Multifamily,54600,2007,100,58,25659.9,263737.9,2448
Multifamily,76032,1962,100,109.7,6084.8,343442,5046.1
Multifamily,87147,1961,100,92.5,74301.4,342170.8,7678
Multifamily,89776,1962,100,80.2,62869.1,299274.9,5845.3
Multifamily,98564,1963,100,92.4,7905.9,456743.8,8248.3
Multifamily,103710,1962,100,88.8,10305.6,342472.8,10797.2
Multifamily,68604,1969,100,93.2,58960.1,259374.5,5461.5
Multifamily,91440,1983,100,76.2,48815.6,611084.7,5758.5
Multifamily,78504,1973,100,28.5,9446.2,285624.6,9543.6
Multifamily,86576,1962,100,77.6,7274.4,323313.2,8914.7
Multifamily,62495,1959,100,78.1,42626.9,248129,6843.4
Multifamily,50000,1970,90,67.5,34852.9,50457.1,516480.3
Multifamily,114151,1955,100,96.8,6241.2,443360,5445.1
Multifamily,77483,2008,100,84.6,46132.9,655405.7,3966.2
Multifamily,48727,2002,100,82,38794,388025,5001.5
Multifamily,37297,2006,100,124,47373.1,498452,3648.2
Multifamily,180000,1947,100,89.5,129388.6,912031.2,19195.8
Multifamily,86349,1928,100,78.9,63600.8,296779.3,6813.2
Multifamily,125000,1999,100,93.6,70803.4,1518702.4,12293
