ptype,floora_plan,year,occ,site_EUI,n_site_gas,n_site_elec,water_use
Multifamily,103015,1899,100,75.1,2326.5,1337347,5892.4
Multifamily,66000,1929,100,88.5,1436,395701.2,2578.5
Multifamily,89970,1910,100,63.8,45477.1,438830.8,2654.1
Multifamily,64377,1928,100,58.1,39214,71975.2,259739.4
Office,119000,1903,100,63.7,2645.8,1391250.8,360.5
Office,40000,1913,100,71.8,308.4,669501.2,448.9
Hotel,68925,2013,100,109.4,32872.8,1316027.8,5701
Multifamily,110524,1963,100,63.6,59246.7,686030,8069.2
Retail,206442,1971,100,187.3,120219.8,7934040,12179.4
Multifamily,436154,1965,100,81.7,330360.9,1661860.8,14285.5
Multifamily,110327,1929,100,69.4,57406.8,546334.5,3158.5
Multifamily,97105,1921,100,78.7,66216.9,471936.6,3720.8
Multifamily,155195,1899,100,55.6,2084.4,873337.9,9223.7
Multifamily,95117,1929,100,79,1456.1,407892.9,3600.6
Multifamily,64220,1903,100,76.8,36997.5,400683.9,1752.7
Multifamily,127184,1920,100,56.6,60135.8,518307,2653.4
Multifamily,47363,1907,100,169.6,36972.6,999393.8,7378.7
Multifamily,52427,1910,100,78.4,19440,675715.5,2336.9
Multifamily,50929,1959,100,126.5,19099.1,647080.2,3004.6
Multifamily,42384,1928,100,91.4,49319.1,769129.2,4459.4
Multifamily,178780,1923,100,56.9,41353.2,880462.8,5283.5
Multifamily,102532,1959,100,88.4,1537.9,1230301,6078.7
Education,126418,1931,100,105,4047.3,1487382.8,2105.7
Multifamily,52000,1923,100,76.8,35029,229094.7,1462
Multifamily,125926,1960,100,81.1,75999.3,903502,4332
Education,195123,1932,100,61.1,1439.9,1381599.7,2037.8
Multifamily,62695,1968,100,84.4,2026.6,541614,3260
Multifamily,119728,1931,100,63.5,69514.2,636365.4,5135
Multifamily,60248,1910,100,102.7,39552.2,747234.4,2829.9
Multifamily,151600,1960,100,39.1,7972.9,531692.1,6855.9
Multifamily,98066,1910,100,95.5,20172.7,1009686,6896.3
Education,105609,1900,100,127.5,748,2647292.1,1565.7
Office,320500,1929,100,79.5,108600.9,4944125,5157.4
Facility,195640,1924,100,49.1,56697.4,2372529.5,984.9
Office,36000,1925,100,61,25932.5,152340.4,2008.4
Office,313991,1929,100,74.4,48679.6,5879621.7,4017.3
Office,60000,1930,100,93.7,18,1480290.9,943.1
Office,170437,1927,100,54.6,8,1714285.9,2138.8
Office,292121,1929,85,68.3,40784.1,4080563.7,5367.8
Multifamily,125340,1926,100,101.7,14853.6,1103227.2,6128.3
Facility,40000,1928,100,62.4,45676.7,209060.1,0
Multifamily,97000,1930,100,62.2,33718.6,922072.1,3606.7
Multifamily,146982,1958,100,96.7,107111,1581748.7,6407.8
Multifamily,74636,1985,100,55.8,30032.9,479038.8,1541.4
Multifamily,51200,1926,100,33.2,13577.1,185402,733
Office,59445,1930,100,35.7,9877.8,333141.6,567.2
Multifamily,53634,1900,95,26.9,262,430663.1,65424.1
Office,937210,1935,25,86.5,2466.2,20235317.3,0
Facility,479500,1949,75,84.8,243050.4,6002059.9,997.4
Office,59650,1900,100,48.9,10.3,494026.4,382
Office,122893,1930,90,175,14271.8,10070938.7,1712.4
Office,886060,1931,100,82.2,162897.5,17276610.3,18360.8
Other,118422,1920,100,105,18832.2,3143172.9,3521.5
Office,73800,1921,100,126.8,9487.6,2484136.7,859.6
Multifamily,220309,1920,100,73,29493.3,3100757.4,10129.4
Office,109150,1912,100,59.6,21288.2,1562883,1908.3
Office,263637,1935,100,72.2,55312,4308515.4,5231.1
