property type,sqft,Year Built,Occupancy,ENERGY STAR Score,Site EUI (kBtu/ft²),Oil kBtu,Diesel kBtu,Steam kBtu,gas kBtu,Total CO2 tons,Water kgal
Financial Office,1579380,1991,65,0,1.4,1407510.4,0,0,1478211.9,130.7,0
Multifamily Housing,545163,1968,100,14,127.9,0,0,0,59909295.9,4095.2,38482.8
Multifamily Housing,545213,1968,100,42,81.3,0,0,0,30014780.2,2924,0
Multifamily Housing,843963,1970,95,68,69.9,79256877,0,0,1643369.9,4675.8,0
Multifamily Housing,393990,1970,95,100,24.6,0,0,0,821700,866.5,23601
Multifamily Housing,449973,1970,95,98,21.6,0,0,0,821669.9,868.5,21970.3
Multifamily Housing,2274380,1966,95,41,102.9,0,0,0,192748786,14065.8,0
Multifamily Housing,766080,1966,95,100,24.4,0,0,0,3140589.8,1612.3,0
Multifamily Housing,1508300,1966,95,100,20.4,0,0,0,5042100.1,2650.3,0
Movie Theater,61798,2006,100,0,98.6,0,0,0,1452900,507.7,5270
Movie Theater,61798,2006,100,0,98.6,0,0,0,1452900,507.7,5270
Multifamily Housing,273771,1950,100,79,55.9,20750783.2,0,0,57154.4,1224.3,32561.1
Multifamily Housing,114300,1984,100,97,36,0,0,0,2224099.9,293.4,2522.6
Manufacturing/Industrial Plant,327192,1996,100,0,258.9,0,0,0,38707905.2,6325.4,0
Manufacturing/Industrial Plant,111338,2008,100,0,123,0,0,0,3296537.8,1139.6,0
Multifamily Housing,135507,1988,100,35,67,0,0,0,6490099.9,584.8,1748.3
Multifamily Housing,19800,1988,100,0,131.5,0,0,0,2076699.9,159.3,0
Multifamily Housing,19800,1988,100,0,7.8,0,0,0,0,14.4,0
Multifamily Housing,10908,1988,100,0,85.3,0,0,0,930600,49.4,0
Multifamily Housing,10908,1988,100,0,252.7,0,0,0,1941200,178.8,0
Multifamily Housing,10908,1988,100,0,30.4,0,0,0,0,30.7,0
Multifamily Housing,10908,1988,100,0,7.8,0,0,0,0,7.9,0
Multifamily Housing,110908,1988,100,0,1,0,0,0,0,10.4,0
Multifamily Housing,41366,1988,100,90,50.8,0,0,0,1541600,133.9,0
Multifamily Housing,2713200,1965,100,28,105.8,0,0,0,234090388.2,17344,0
Multifamily Housing,387600,1963,100,100,20.3,0,0,0,0,729,0
Multifamily Housing,387600,1964,100,100,19,0,0,0,0,682.6,0
Multifamily Housing,387600,1964,100,100,18.1,0,0,0,0,652.5,29024.4
Multifamily Housing,387600,1965,100,100,19.4,0,0,0,0,696.5,56667.2
Multifamily Housing,387600,1965,100,100,19.9,0,0,0,0,715,0
Multifamily Housing,387600,1973,100,100,19.7,0,0,0,0,708.4,0
Multifamily Housing,387600,1973,100,100,20.2,0,0,0,0,726.2,57488
Multifamily Housing,545454,1965,80,12,132.1,0,0,0,63075900.4,4181.6,0
Multifamily Housing,58560,1949,100,99,65.3,0,0,0,3422189,219.3,0
Multifamily Housing,58560,1951,100,100,59.3,0,0,0,3223861,194.5,0
Multifamily Housing,194870,1900,100,86,79.5,0,0,0,12888346.1,925.5,0
Multifamily Housing,97430,1949,100,93,76.1,0,0,0,6610423.2,426.1,0
Multifamily Housing,97430,1949,100,95,72.7,0,0,0,6274253.5,408.2,0
Multifamily Housing,194870,1951,100,79,84.3,0,0,0,13579647.6,985,0
Multifamily Housing,48710,1951,100,96,74.9,0,0,0,3400178.7,203.8,0
Multifamily Housing,48710,1951,100,97,72.4,0,0,0,3278158,197.3,0
Multifamily Housing,56534,1949,100,98,66,0,0,0,3482725.5,208.2,0
Multifamily Housing,56534,1949,100,99,61.1,0,0,0,3202654.8,193.3,0
Multifamily Housing,56534,1949,100,96,70.1,0,0,0,3713462.9,220.5,0
Multifamily Housing,381731,1921,100,0,32.7,0,0,0,0,1216.2,16008.6
Multifamily Housing,284680,1921,100,0,36.4,0,0,0,0,1048.5,17031.7
Multifamily Housing,666411,1921,100,37,76.7,0,0,0,30163512.5,3866.8,33040.4
Multifamily Housing,352868,1968,95,12,132.9,0,0,0,37674685.2,2856.7,0
Multifamily Housing,176434,1968,100,95,37,0,0,0,1786352.9,534.2,0
Multifamily Housing,176434,1968,100,97,34.8,0,0,0,1653807.1,504.2,0
Multifamily Housing,94656,1972,100,51,86.4,0,0,0,6152710.2,515.2,0
Multifamily Housing,37964,1972,100,35,109,0,0,0,3175487.2,258,0
Multifamily Housing,112796,1972,100,31,133.2,0,0,0,13457997.3,859.8,0
Multifamily Housing,100569,1972,100,35,136.4,0,0,0,12628467.3,772.2,0
Multifamily Housing,119786,1972,100,32,131.2,0,0,0,14005422.8,902.1,0
Multifamily Housing,104659,1972,100,43,89.9,0,0,0,7032829.3,593.8,0
College/University,230392,1929,100,0,94.6,43611035,0,0,0,1618.2,0
College/University,110677,1967,100,0,38.3,0,0,0,0,393.4,1299.9
College/University,119715,1929,100,0,43.1,0,0,0,411900,462.3,738.5
Multifamily Housing,3374944,1965,100,4,185.2,0,0,0,624938667.5,33193.5,0
Performing Arts,292620,1962,100,0,98.3,0,0,14072366.2,0,2298,8004.6
Performing Arts,369772,1966,100,0,98.6,0,0,18937082.6,0,4573.5,11538.1
Other,70572,1965,100,0,285.8,0,0,10273826.2,0,1600.5,24320.1
Multifamily Housing,279855,1966,100,100,53.3,0,0,0,0,940.3,0
Multifamily Housing,107483,1966,100,93,25.9,0,0,0,276696.9,247.5,5164.6
Multifamily Housing,86069,1966,100,100,17.2,0,0,0,183537.5,130.4,3584.7
Multifamily Housing,86303,1966,100,100,21.2,0,0,0,243909.4,159.8,2823.9
College/University,344852,2009,100,0,21.6,0,0,4762941.6,0,566.5,2749.6
Office,60852,1928,100,75,83.5,0,0,2381470.8,0,408.4,2352.7
Office,49000,1915,100,64,92.7,0,0,2381470.8,0,358.5,396.9
College/University,235000,2009,100,0,103,0,0,9380784.8,0,1999.6,52.1
College/University,255275,1908,100,0,96.3,1648310.4,0,0,18693618.8,1525,48182.7
Residence Hall/Dormitory,78397,1930,100,100,16.4,0,0,0,223389.7,110.5,0
Hospital,861358,1963,100,16,214.1,0,0,90354368.1,621645.5,14704.2,0
Hospital,430679,1963,100,1,380.2,0,0,90354368.1,621645.5,12785.2,0
Hospital,430679,1963,100,100,48,0,0,0,0,1919,0
Hospital,927982,1924,100,22,273.3,614100,0,52666152,102972280.3,18049.4,585.3
Hospital,309327,1924,100,100,23.1,0,0,0,0,662.2,0
Hospital,309327,1924,100,1,608.8,614100,0,52666152,51344440.7,14041.3,0
Hospital,308328,1924,100,100,188.5,0,0,0,51627839.6,3345.9,0
Multifamily Housing,40320,1940,100,64,102,2290799.8,0,0,2262759.1,270.5,3192.5
Multifamily Housing,33120,1940,100,85,65.6,588156,0,0,1363065.9,142,0
Multifamily Housing,73440,1940,100,74,85.6,2878955.8,0,0,3625825,412.5,3192.5
Multifamily Housing,240118,1975,100,9,131.2,0,0,0,23220399.7,2002.4,0
Multifamily Housing,178170,1975,100,8,131.7,0,0,0,17147999.8,1496.3,2405420
Multifamily Housing,59390,1975,100,8,135.6,0,0,0,6072399.9,506.1,0
Other - Lodging/Residential,107000,1994,100,0,6.2,0,0,0,605794.9,37.3,0
Multifamily Housing,104463,1949,50,92,74.2,0,0,0,7627833.8,416.6,0
Multifamily Housing,104463,1949,100,100,22.6,0,0,0,2325893,126.8,0
Multifamily Housing,104463,1949,100,100,24.3,0,0,0,2502499.9,136,0
Multifamily Housing,104463,1949,40,100,27.3,0,0,0,2799440.9,153.7,0
