ptype,floor_area,build_year,occupy,star,site_eui,ngas,water_use
Multifamily Housing,117123.0,1920,100,39.0,71.0,4179415.9,2851.2
Office,312837.0,1927,100,84.0,84.3,8312260.0,5695.0
Multifamily Housing,59838.0,1962,100,31.0,52.6,1495882.0,2527.7
Multifamily Housing,83968.0,1920,100,5.0,87.1,4168902.3,2525.0
Multifamily Housing,82544.0,1910,100,6.0,56.8,2806042.5,1499.9
Office,878120.0,1929,100,87.0,67.9,20289867.5,19091.8
Hotel,186891.0,1996,100,28.0,122.8,2158944.6,14279.1
Hotel,56735.0,2008,80,3.0,143.9,3001487.7,3629.5
Office,40000.0,1865,100,12.0,139.8,77270.0,1538.9
Office,58000.0,1910,75,39.0,73.5,60435.2,826.6
Hotel,126529.0,2010,90,38.0,136.0,6844292.5,9898.5
Office,126053.0,1913,100,72.0,75.2,2474372.4,3570.1
Office,44200.0,1915,100,54.0,66.1,287658.8,2821.0
Multifamily Housing,53065.0,1933,100,66.0,108.7,5467157.0,4170.0
Multifamily Housing,267018.0,1978,95,80.0,74.9,15432572.0,17837.3
Multifamily Housing,630395.0,1979,100,57.0,79.0,40500856.6,68959.2
Multifamily Housing,83905.0,1987,100,36.0,114.1,8331058.0,7647.3
Multifamily Housing,1396625.0,1935,100,48.0,87.4,8568613.0,111668.7
Multifamily Housing,130576.0,2013,80,45.0,36.4,1971035.4,2250.1
Multifamily Housing,69285.0,2002,100,11.0,112.2,4936511.8,8074.8
Office,58301.0,1991,100,64.0,82.4,1614893.9,3146.3
Multifamily Housing,50673.0,1912,100,10.0,77.2,2544609.0,909.1
Multifamily Housing,216200.0,1929,100,24.0,102.1,485000.0,15381.4
Multifamily Housing,268430.0,1949,100,32.0,105.3,22417191.3,18690.5
Multifamily Housing,564060.0,1949,100,75.0,100.8,45125883.2,38538.1
Multifamily Housing,119893.0,1906,100,39.0,66.4,6034800.2,5228.8
Multifamily Housing,50124.0,1930,100,63.0,46.9,1066897.0,1231.4
Multifamily Housing,205821.0,1983,100,89.0,58.8,8871186.9,15614.1
Multifamily Housing,107740.0,2010,100,97.0,42.3,3078197.3,3477.1
Multifamily Housing,51802.0,2005,100,56.0,71.5,2458942.2,2074.4
Multifamily Housing,74359.0,2001,100,2.0,116.8,5188194.1,4350.3
Multifamily Housing,94008.0,1928,100,81.0,70.3,5158537.4,2277.8
Multifamily Housing,102000.0,1973,100,19.0,118.3,556451.6,9679.0
Multifamily Housing,55947.0,1940,100,72.0,71.2,133811.8,2049.8
Multifamily Housing,52265.0,1938,100,96.0,28.0,40924.0,2718.5
Multifamily Housing,83223.0,1970,100,74.0,58.6,2870699.8,2989.8
Hotel,70000.0,1985,100,21.0,160.6,6225405.5,6047.3
Hotel,83000.0,2007,100,8.0,218.1,10691100.1,7605.4
Multifamily Housing,210043.0,2007,100,10.0,90.0,9808190.5,10386.7
Hotel,109858.0,2007,100,6.0,111.7,6747105.7,10335.4
Office,61282.0,2005,100,35.0,143.7,5627500.1,2226.2
Multifamily Housing,42772.0,2000,100,2.0,235.8,7682169.7,6463.2
Retail Store,85995.0,1920,100,91.0,59.8,0.0,1239.5
Multifamily Housing,122406.0,1929,100,78.0,64.1,5528100.0,4283.8
Multifamily Housing,858068.0,1962,100,47.0,95.3,66321938.5,75342.3
Multifamily Housing,94773.0,2007,100,29.0,77.8,4146900.0,3479.2
Multifamily Housing,67763.0,1929,100,65.0,69.9,184418.8,2884.2
Multifamily Housing,75000.0,2002,100,35.0,66.4,3260798.9,2688.4
Multifamily Housing,106432.0,1929,100,46.0,75.3,408381.8,7643.6
Residence Hall/Dormitory,83734.0,2001,100,57.0,89.6,4588514.8,4810.0
Hotel,90411.0,2007,100,7.0,316.3,20096604.3,13114.1
Multifamily Housing,122689.0,1981,100,88.0,66.7,6457300.2,7453.4
Multifamily Housing,47362.0,1925,100,28.0,99.5,3706429.3,7445.4
Multifamily Housing,64031.0,2010,100,28.0,65.2,1745561.3,1814.0
Multifamily Housing,91682.0,2016,90,83.0,39.5,1273400.0,2587.6
Multifamily Housing,50064.0,1904,100,8.0,98.7,676888.2,1340.9
Multifamily Housing,70759.0,1900,100,31.0,79.7,23323.3,2487.0
Office,362151.0,1930,100,84.0,65.0,6500892.4,2570.3
Multifamily Housing,125610.0,1950,100,64.0,76.9,1766075.0,4943.1
Multifamily Housing,86219.0,1926,100,5.0,75.4,2335905.7,2797.8
Office,78066.0,1900,100,36.0,123.7,4628200.2,6857.4
Office,83753.0,1900,100,87.0,62.1,1341342.9,1853.8
Retail Store,120656.0,2004,100,67.0,73.8,356651.3,2457.5
Multifamily Housing,52600.0,1900,100,39.0,70.6,3122712.4,1929.3
Office,82800.0,1890,100,80.0,72.4,3148298.0,1270.8
Office,55464.0,1920,100,76.0,73.1,40170.2,1379.5
Office,70000.0,1900,100,38.0,81.7,6467.7,777.2
Office,234219.0,1929,90,94.0,52.9,4127432.5,1164.0
Office,53352.0,1985,100,87.0,69.2,2564807.4,2902.4
Hotel,380427.0,2010,75,35.0,103.6,294310.0,32667.9
Multifamily Housing,57152.0,1911,100,49.0,54.7,2208599.8,1282.2
Multifamily Housing,74184.0,1926,100,1.0,172.0,3403900.0,11692.1
Office,46740.0,1912,100,78.0,67.4,1646170.6,1329.3
Office,54800.0,1900,100,13.0,139.1,2428687.2,916.6
Office,54978.0,1900,100,56.0,86.1,1076.5,497.0
Office,113053.0,1890,100,79.0,95.3,1260443.9,3779.9
Office,221000.0,1920,80,98.0,37.4,3031299.8,3750.0
Office,69500.0,1985,100,67.0,61.7,516671.5,1695.1
Multifamily Housing,57122.0,1920,100,81.0,54.4,390432.5,849.4
Office,214110.0,1926,95,64.0,82.4,5386932.3,2193.5
Multifamily Housing,202793.0,1966,100,61.0,81.6,13309982.9,8884.3
Office,301968.0,1983,100,73.0,101.6,8067070.2,7904.1
Office,178459.0,1927,100,89.0,67.0,5635923.3,1970.4
Multifamily Housing,88965.0,1900,100,24.0,76.3,270964.7,2893.5
Office,151721.0,1900,100,93.0,48.1,2800.0,3899.6
Office,226000.0,1897,100,88.0,53.9,514676.5,5798.0
Office,230740.0,1900,100,86.0,59.8,700352.9,3938.0
Retail Store,74970.0,1900,100,19.0,124.4,2352000.0,951.5
Office,114990.0,1882,100,20.0,140.0,8286900.4,13429.0
Office,187008.0,1917,95,97.0,28.7,0.0,2272.6
Hotel,58538.0,1890,100,3.0,194.7,6854960.1,21995.7
Multifamily Housing,88000.0,1903,100,55.0,53.6,59300.0,1712.0
Office,296000.0,1929,100,87.0,59.6,1160885.1,4499.6
Office,380972.0,1919,100,78.0,87.7,14964540.4,8638.2
Multifamily Housing,53641.0,1986,100,64.0,93.8,3843150.9,3144.1
Multifamily Housing,50999.0,1974,0,100.0,39.1,4388.2,999.4
Multifamily Housing,187370.0,1991,100,77.0,56.1,6607120.0,4613.3
Office,76500.0,2004,100,65.0,89.6,490612.5,1587.4
Office,98280.0,1900,100,85.0,62.1,3528758.6,2386.0
Office,110000.0,1905,100,72.0,73.1,3538400.0,2709.5
Office,88000.0,1896,100,60.0,100.2,1694769.6,6511.3
Office,92088.0,1898,100,91.0,56.6,979542.4,2089.6
Multifamily Housing,83200.0,2006,100,8.0,83.8,4120551.5,7183.8
Multifamily Housing,197720.0,1930,100,11.0,62.1,3826813.7,7594.2
Multifamily Housing,315000.0,1890,100,48.0,65.8,5527466.7,1842.5
Multifamily Housing,67048.0,1910,100,28.0,85.5,3501573.2,1202.7
